name,exterior,statTrak,souvenir,lowestPrice,marketHashName,quantity,dopplerClassName
Austin 2025 Contenders Sticker Capsule,,False,False,0.77,Austin 2025 Contenders Sticker Capsule,688,
Sticker Capsule 2,,False,False,9.38,Sticker Capsule 2,684,
Paris 2023 Champions Autograph Capsule,,False,False,0.2,Paris 2023 Champions Autograph Capsule,651,
Sticker | Entropiq | Stockholm 2021,,False,False,0.21,Sticker | Entropiq | Stockholm 2021,627,
Copenhagen 2024 Champions Autograph Capsule,,False,False,0.27,Copenhagen 2024 Champions Autograph Capsule,626,
Sticker | Gold Web (Foil),,False,False,9.0,Sticker | Gold Web (Foil),576,
AWP | Capillary,FIELD_TESTED,False,False,0.3,AWP | Capillary (Field-Tested),551,
Sticker | Lynn Vision (Glitter) | Copenhagen 2024,,False,False,1.16,Sticker | Lynn Vision (Glitter) | Copenhagen 2024,548,
eSports 2014 Summer Case,,False,False,11.41,eSports 2014 Summer Case,547,
Sticker | Natus Vincere | Berlin 2019,,False,False,0.43,Sticker | Natus Vincere | Berlin 2019,509,
Sticker | Cloud9 | Antwerp 2022,,False,False,0.15,Sticker | Cloud9 | Antwerp 2022,508,
Sticker | ENCE | Stockholm 2021,,False,False,0.12,Sticker | ENCE | Stockholm 2021,505,
Rio 2022 Legends Autograph Capsule,,False,False,0.4,Rio 2022 Legends Autograph Capsule,502,
Antwerp 2022 Legends Autograph Capsule,,False,False,0.49,Antwerp 2022 Legends Autograph Capsule,487,
Antwerp 2022 Champions Autograph Capsule,,False,False,0.36,Antwerp 2022 Champions Autograph Capsule,482,
Berlin 2019 Minor Challengers Autograph Capsule,,False,False,2.3,Berlin 2019 Minor Challengers Autograph Capsule,478,
Shanghai 2024 Contenders Autograph Capsule,,False,False,0.39,Shanghai 2024 Contenders Autograph Capsule,470,
Desert Eagle | Tilted,FIELD_TESTED,False,False,0.35,Desert Eagle | Tilted (Field-Tested),439,
Austin 2025 Legends Sticker Capsule,,False,False,0.77,Austin 2025 Legends Sticker Capsule,437,
Shanghai 2024 Challengers Autograph Capsule,,False,False,0.39,Shanghai 2024 Challengers Autograph Capsule,437,
Sticker | BIG (Holo) | 2020 RMR,,False,False,0.3,Sticker | BIG (Holo) | 2020 RMR,432,
M4A1-S | Boreal Forest,FIELD_TESTED,False,False,0.11,M4A1-S | Boreal Forest (Field-Tested),427,
Sticker Capsule,,False,False,0.57,Sticker Capsule,426,
M4A4 | Magnesium,FIELD_TESTED,False,False,0.22,M4A4 | Magnesium (Field-Tested),422,
AK-47 | Phantom Disruptor,FIELD_TESTED,False,False,3.7,AK-47 | Phantom Disruptor (Field-Tested),422,
Stockholm 2021 Mirage Souvenir Package,,False,False,3.86,Stockholm 2021 Mirage Souvenir Package,421,
Huntsman Weapon Case,,False,False,7.78,Huntsman Weapon Case,418,
Rio 2022 Challengers Autograph Capsule,,False,False,0.49,Rio 2022 Challengers Autograph Capsule,418,
USP-S | Black Lotus,FIELD_TESTED,False,False,1.4,USP-S | Black Lotus (Field-Tested),415,
Berlin 2019 Returning Challengers Autograph Capsule,,False,False,1.07,Berlin 2019 Returning Challengers Autograph Capsule,412,
Galil AR | Connexion,FIELD_TESTED,False,False,0.2,Galil AR | Connexion (Field-Tested),408,
Name Tag,,False,False,1.55,Name Tag,402,
MAC-10 | Allure,FIELD_TESTED,False,False,0.2,MAC-10 | Allure (Field-Tested),401,
Sticker | FaZe Clan | Stockholm 2021,,False,False,0.14,Sticker | FaZe Clan | Stockholm 2021,388,
Operation Hydra Case Key,,False,False,2.85,Operation Hydra Case Key,379,
Operation Hydra Case,,False,False,25.89,Operation Hydra Case,379,
Sticker | TYLOO (Holo) | 2020 RMR,,False,False,0.9,Sticker | TYLOO (Holo) | 2020 RMR,373,
Copenhagen 2024 Contenders Autograph Capsule,,False,False,0.32,Copenhagen 2024 Contenders Autograph Capsule,373,
Katowice 2019 Minor Challengers Autograph Capsule,,False,False,7.49,Katowice 2019 Minor Challengers Autograph Capsule,361,
StatTrak™ Swap Tool,,False,False,0.4,StatTrak™ Swap Tool,359,
Austin 2025 Challengers Sticker Capsule,,False,False,0.77,Austin 2025 Challengers Sticker Capsule,353,
Sticker | Virtus.pro (Glitter) | Copenhagen 2024,,False,False,0.34,Sticker | Virtus.pro (Glitter) | Copenhagen 2024,353,
Sticker | Evil Geniuses (Holo) | 2020 RMR,,False,False,0.49,Sticker | Evil Geniuses (Holo) | 2020 RMR,346,
Berlin 2019 Minor Challengers (Holo/Foil),,False,False,2.5,Berlin 2019 Minor Challengers (Holo-Foil),345,
SSG 08 | Abyss,FIELD_TESTED,False,False,0.25,SSG 08 | Abyss (Field-Tested),345,
MP5-SD | Kitbash,FIELD_TESTED,False,False,0.2,MP5-SD | Kitbash (Field-Tested),345,
Shanghai 2024 Champions Autograph Capsule,,False,False,0.26,Shanghai 2024 Champions Autograph Capsule,343,
Sticker | FaZe Clan (Glitter) | Antwerp 2022,,False,False,0.44,Sticker | FaZe Clan (Glitter) | Antwerp 2022,330,
