name,slope
Five-SeveN__Urban_Hazard_(Factory_New),-0.0629
AWP__Wildfire_(Field-Tested),-0.0648
USP-S__Printstream_(Minimal_Wear),-0.0681
Glock-18__Shinobu_(Factory_New),-0.0838
AK-47__Asiimov_(Minimal_Wear),-0.0878
AWP__Wildfire_(Minimal_Wear),-0.0881
M4A4__Temukau_(Minimal_Wear),-0.0886
AK-47__Midnight_Laminate_(Field-Tested),-0.0901
AWP__Chrome_Cannon_(Field-Tested),-0.112
Desert_Eagle__Printstream_(Factory_New),-0.1247
AWP__Asiimov_(Field-Tested),-0.1471
Desert_Eagle__Mulberry_(Field-Tested),-0.1835
★_Moto_Gloves__3rd_Commando_Company_(Field-Tested),-0.1895
AWP__Printstream_(Battle-Scarred),-0.1902
AK-47__Inheritance_(Field-Tested),-0.1983
AWP__Redline_(Minimal_Wear),-0.434
AWP__Printstream_(Field-Tested),-0.514
AK-47__Midnight_Laminate_(Factory_New),-0.6281
AWP__Printstream_(Minimal_Wear),-0.7439
