name,slope
P90__Shallow_Grave_(Field-Tested),0.0129
Sticker__FURIA_(Foil)__2020_RMR,0.0119
Sticker__MOUZ_(Holo)__Paris_2023,0.0116
Five-SeveN__Angry_Mob_(Minimal_Wear),0.0111
Operation_Breakout_Weapon_Case,0.011
M4A4__Turbine_(Field-Tested),0.0106
AK-47__Neon_Revolution_(Minimal_Wear),0.0105
Galil_AR__Tuxedo_(Factory_New),0.0103
Spectrum_Case,0.0102
Sticker__Vitality_(Holo)__Copenhagen_2024,0.0101
Desert_Eagle__Conspiracy_(Minimal_Wear),0.0098
AWP__Phobos_(Factory_New),0.0097
Glock-18__Candy_Apple_(Factory_New),0.0096
Stockholm_2021_Legends_Sticker_Capsule,0.0096
M4A1-S__Nightmare_(Field-Tested),0.0092
Sticker__ENCE_(Holo)__Paris_2023,0.009
Glock-18__Water_Elemental_(Minimal_Wear),0.0089
Revolver_Case,0.0088
SSG_08__Dragonfire_(Factory_New),0.0087
CS:GO_Weapon_Case_2,0.0086
Sticker__Rare_Atom_(Glitter)__Shanghai_2024,0.0086
Sticker__Gold_Web_(Foil),0.0086
M4A4__Desolate_Space_(Field-Tested),0.0085
M4A1-S__Golden_Coil_(Field-Tested),0.0085
Stockholm_2021_Contenders_Sticker_Capsule,0.0085
Sticker__Fluxo_(Holo)__Paris_2023,0.0082
Sticker__Evil_Geniuses_(Holo)__2020_RMR,0.008
Sticker__Winding_Scorch_(Foil),0.0078
Desert_Eagle__Meteorite_(Factory_New),0.0073
Operation_Vanguard_Weapon_Case,0.007
Chroma_Case,0.0068
AWP__PAW_(Factory_New),0.0067
SSG_08__Acid_Fade_(Factory_New),0.0065
USP-S__Guardian_(Minimal_Wear),0.0064
Sticker__Dead_Eye,0.0064
StatTrak™_M4A1-S__Night_Terror_(Factory_New),0.0063
Operation_Phoenix_Weapon_Case,0.0062
Berlin_2019_Returning_Challengers_(Holo-Foil),0.0061
Sticker__paiN_Gaming_(Holo)__Copenhagen_2024,0.0059
CS20_Case,0.0059
Sticker__Vitality_(Holo)__Paris_2023,0.0058
Chroma_3_Case,0.0058
Sticker__Nemiga_(Holo)__2020_RMR,0.0057
MP7__Anodized_Navy_(Factory_New),0.0057
Sticker__TYLOO_(Holo)__2020_RMR,0.0056
Glock-18__Candy_Apple_(Minimal_Wear),0.0056
Sticker__Natus_Vincere_(Holo)__Paris_2023,0.0056
MP7__Bloodsport_(Minimal_Wear),0.0054
Sticker__KOI_(Glitter)__Copenhagen_2024,0.0053
Gamma_2_Case,0.0052
Sticker__rox__Antwerp_2022,0.0051
USP-S__Neo-Noir_(Field-Tested),0.0051
Danger_Zone_Case,0.0051
AUG__Eye_of_Zapems_(Field-Tested),0.0051
AK-47__Emerald_Pinstripe_(Factory_New),0.0049
P250__Asiimov_(Field-Tested),0.0049
M4A1-S__Nitro_(Minimal_Wear),0.0049
Sticker__Gen.G_(Foil)__2020_RMR,0.0048
Chroma_2_Case,0.0047
Sticker__Boombl4_(Holo)__Stockholm_2021,0.0046
Winter_Offensive_Weapon_Case,0.0046
Gamma_Case,0.0045
Operation_Wildfire_Case,0.0045
Shanghai_2024_Contenders_Sticker_Capsule,0.0044
M4A1-S__Leaded_Glass_(Field-Tested),0.0044
Prisma_Case,0.0043
AK-47__The_Empress_(Field-Tested),0.0041
Horizon_Case,0.004
Sticker__BIG_(Foil)__2020_RMR,0.004
Clutch_Case,0.004
Desert_Eagle__Tilted_(Minimal_Wear),0.004
Prisma_2_Case,0.004
Sticker__b1t_(Holo)__Stockholm_2021,0.0037
Spectrum_2_Case,0.0037
M4A4__Neo-Noir_(Field-Tested),0.0035
Sticker__Perfecto_(Holo)__Stockholm_2021,0.0035
USP-S__Cyrex_(Factory_New),0.0034
Sticker__Ninjas_in_Pyjamas_(Holo)__2020_RMR,0.0033
Five-SeveN__Angry_Mob_(Field-Tested),0.0033
Shanghai_2024_Legends_Sticker_Capsule,0.0031
MP7__Fade_(Factory_New),0.003
Sticker__G2_(Holo)__2020_RMR,0.0028
Anubis_Collection_Package,0.0028
Paris_2023_Mirage_Souvenir_Package,0.0027
Shadow_Case,0.0027
Sticker__FaZe_Clan_(Holo)__Paris_2023,0.0026
AK-47__Aquamarine_Revenge_(Field-Tested),0.0025
Five-SeveN__Boost_Protocol_(Minimal_Wear),0.0024
Snakebite_Case,0.0023
MAC-10__Disco_Tech_(Field-Tested),0.0023
Sticker__Imperial_Esports_(Glitter)__Copenhagen_2024,0.0023
Sticker__MOUZ_(Glitter)__Shanghai_2024,0.0023
Copenhagen_2024_Contenders_Sticker_Capsule,0.0021
StatTrak™_USP-S__Ticket_to_Hell_(Factory_New),0.0021
AWP__Sun_in_Leo_(Factory_New),0.0021
M4A1-S__Mud-Spec_(Minimal_Wear),0.0021
Sticker__Complexity_Gaming_(Glitter)__Copenhagen_2024,0.002
Antwerp_2022_Legends_Sticker_Capsule,0.002
MAC-10__Silver_(Factory_New),0.002
MAC-10__Candy_Apple_(Factory_New),0.0019
Sticker__Rainbow_Route_(Holo),0.0019
Falchion_Case,0.0019
Sticker__Vitality_(Glitter)__Copenhagen_2024,0.0019
Rio_2022_Legends_Autograph_Capsule,0.0019
Sticker__Lynn_Vision_(Glitter)__Copenhagen_2024,0.0018
Antwerp_2022_Contenders_Autograph_Capsule,0.0018
Sticker__electroNic_(Holo)__Stockholm_2021,0.0018
P250__Metallic_DDPAT_(Factory_New),0.0018
MAC-10__Candy_Apple_(Minimal_Wear),0.0017
Sticker__Web_Stuck,0.0016
