name,doppler_phase,sales_in_last_x_days
Glock-18 | Wasteland Rebel (Minimal Wear),,24
StatTrak™ Glock-18 | Vogue (Field-Tested),,24
Five-SeveN | Midnight Paintover (Factory New),,24
StatTrak™ M4A1-S | Black Lotus (Minimal Wear),,24
SSG 08 | Hand Brake (Minimal Wear),,24
StatTrak™ M4A1-S | Night Terror (Field-Tested),,24
Glock-18 | Bullet Queen (Field-Tested),,24
MP5-SD | Kitbash (Minimal Wear),,24
M4A1-S | Cyrex (Factory New),,24
MP9 | Army Sheen (Factory New),,24
1st Lieutenant Farlow | SWAT,,24
Glock-18 | Off World (Minimal Wear),,24
SG 553 | Phantom (Field-Tested),,24
P90 | Vent Rush (Field-Tested),,24
P90 | Wave Breaker (Well-Worn),,24
Glock-18 | Off World (Field-Tested),,24
AWP | Atheris (Factory New),,24
SG 553 | Danger Close (Minimal Wear),,24
AWP | Capillary (Field-Tested),,24
CZ75-Auto | Tacticat (Field-Tested),,24
Jungle Rebel | Elite Crew,,24
XM1014 | CaliCamo (Minimal Wear),,24
StatTrak™ USP-S | Ticket to Hell (Field-Tested),,24
Sticker | DreamEaters | Berlin 2019,,23
AWP | Hyper Beast (Minimal Wear),,23
Patch | Metal The Global Elite,,23
XM1014 | Ziggy (Field-Tested),,23
Inferno 2 Pin,,23
R8 Revolver | Bone Forged (Minimal Wear),,23
AK-47 | Uncharted (Minimal Wear),,23
AWP | PAW (Factory New),,23
Five-SeveN | Angry Mob (Field-Tested),,23
MP9 | Modest Threat (Minimal Wear),,23
XM1014 | Blue Steel (Field-Tested),,23
R8 Revolver | Crimson Web (Field-Tested),,23
Sticker | Grayhound Gaming (Holo) | Berlin 2019,,23
SSG 08 | Dezastre (Minimal Wear),,23
UMP-45 | Exposure (Field-Tested),,23
Desert Eagle | Heat Treated (Field-Tested),,23
Desert Eagle | Corinthian (Field-Tested),,23
UMP-45 | K.O. Factory (Field-Tested),,23
AUG | Snake Pit (Factory New),,23
AWP | Capillary (Minimal Wear),,23
USP-S | Tropical Breeze (Field-Tested),,23
AUG | Triqua (Field-Tested),,23
Galil AR | Destroyer (Factory New),,22
Five-SeveN | Flame Test (Minimal Wear),,22
USP-S | Cyrex (Field-Tested),,22
StatTrak™ AK-47 | Ice Coaled (Field-Tested),,22
MAC-10 | Light Box (Minimal Wear),,22
MAC-10 | Disco Tech (Minimal Wear),,22
M249 | Hypnosis (Minimal Wear),,22
Sticker | Apeks (Holo) | Paris 2023,,22
FAMAS | Cyanospatter (Field-Tested),,22
Sticker | G2 Esports (Holo) | Copenhagen 2024,,22
Desert Eagle | Bronze Deco (Minimal Wear),,22
AUG | Luxe Trim (Minimal Wear),,22
SSG 08 | Fever Dream (Factory New),,22
P250 | See Ya Later (Field-Tested),,22
Sticker | Into The Breach (Glitter) | Paris 2023,,22
XM1014 | Zombie Offensive (Minimal Wear),,22
Sticker | Infinite Triangle (Holo),,22
P250 | Constructivist (Minimal Wear),,22
PP-Bizon | Cold Cell (Minimal Wear),,22
Welcome to the Clutch Pin,,22
Patch | Ninjas in Pyjamas | Stockholm 2021,,22
Zeus x27 | Swamp DDPAT (Minimal Wear),,22
AWP | Crakow! (Minimal Wear),,22
Galil AR | Signal (Factory New),,21
SCAR-20 | Jungle Slipstream (Factory New),,21
Cmdr. Davida 'Goggles' Fernandez | SEAL Frogman,,21
Galil AR | Signal (Minimal Wear),,21
M4A1-S | Mecha Industries (Field-Tested),,21
SG 553 | Berry Gel Coat (Field-Tested),,21
CS:GO Patch Pack,,21
SCAR-20 | Wild Berry (Field-Tested),,21
M4A1-S | Cyrex (Field-Tested),,21
M4A4 | Buzz Kill (Minimal Wear),,21
P90 | Randy Rush (Factory New),,21
AK-47 | Elite Build (Factory New),,21
Desert Eagle | Blue Ply (Battle-Scarred),,21
Negev | Wall Bang (Minimal Wear),,21
USP-S | Flashback (Minimal Wear),,21
Sticker | Team Liquid (Glitter) | Antwerp 2022,,21
MP9 | Mount Fuji (Factory New),,21
USP-S | Jawbreaker (Well-Worn),,21
Easy Peasy Pin,,21
★ Specialist Gloves | Marble Fade (Field-Tested),,21
MP5-SD | Co-Processor (Minimal Wear),,21
Dual Berettas | Flora Carnivora (Minimal Wear),,21
Negev | Prototype (Field-Tested),,21
Sticker | Quick Peek,,21
StatTrak™ AK-47 | Slate (Minimal Wear),,21
Nova | Rain Station (Factory New),,21
Sticker | Vitality (Glitter) | Copenhagen 2024,,21
Sealed Graffiti | HellRaisers | London 2018,,21
MAC-10 | Allure (Minimal Wear),,21
M4A4 | Naval Shred Camo (Factory New),,21
Desert Eagle | Light Rail (Factory New),,21
Sticker | Monte (Holo) | Paris 2023,,21
USP-S | Torque (Factory New),,20
Sticker | Aurora | Austin 2025,,20
USP-S | 27 (Minimal Wear),,20
XM1014 | Halftone Shift (Field-Tested),,20
Nova | Rising Sun (Battle-Scarred),,20
"Music Kit | Knock2, dashstar*",,20
Glock-18 | Oxide Blaze (Minimal Wear),,20
Negev | Ultralight (Factory New),,20
AUG | Surveillance (Field-Tested),,20
AWP | Hyper Beast (Field-Tested),,20
Little Kev | The Professionals,,20
P2000 | Wicked Sick (Field-Tested),,20
StatTrak™ Desert Eagle | Blue Ply (Minimal Wear),,20
StatTrak™ Desert Eagle | Bronze Deco (Factory New),,20
StatTrak™ Desert Eagle | Bronze Deco (Minimal Wear),,20
AWP | Redline (Field-Tested),,20
P250 | Constructivist (Factory New),,20
Nova | Caged Steel (Minimal Wear),,20
MP9 | Arctic Tri-Tone (Field-Tested),,20
AK-47 | Uncharted (Field-Tested),,20
Canals Pin,,20
Sawed-Off | Amber Fade (Factory New),,20
Dual Berettas | Hideout (Factory New),,20
P90 | Wash me (Minimal Wear),,20
Galil AR | Connexion (Field-Tested),,19
Nova | Rising Sun (Minimal Wear),,19
Dual Berettas | Flora Carnivora (Field-Tested),,19
SSG 08 | Dragonfire (Field-Tested),,19
USP-S | Desert Tactical (Minimal Wear),,19
Glock-18 | Block-18 (Factory New),,19
Charm | Lil' Whiskers,,19
P90 | Wave Breaker (Battle-Scarred),,19
Five-SeveN | Midnight Paintover (Minimal Wear),,19
P250 | Nevermore (Minimal Wear),,19
Dual Berettas | Polished Malachite (Factory New),,19
SSG 08 | Abyss (Minimal Wear),,19
Sticker | Chi Bomb,,19
Zeus x27 | Tosai (Factory New),,19
Sticker | Virtus.pro (Holo) | Copenhagen 2024,,19
Sticker | 100 Thieves (Foil) | 2020 RMR,,19
M4A1-S | Printstream (Field-Tested),,19
SCAR-20 | Trail Blazer (Minimal Wear),,19
★ Driver Gloves | Rezan the Red (Field-Tested),,19
★ Driver Gloves | Black Tie (Field-Tested),,19
AK-47 | Searing Rage (Well-Worn),,19
AK-47 | The Outsiders (Factory New),,19
StatTrak™ M4A1-S | Black Lotus (Factory New),,19
SG 553 | Anodized Navy (Factory New),,19
StatTrak™ Desert Eagle | Corinthian (Factory New),,19
M249 | Gator Mesh (Field-Tested),,19
Sticker | PGL (Glitter) | Antwerp 2022,,19
StatTrak™ AK-47 | Slate (Field-Tested),,19
SG 553 | Tiger Moth (Field-Tested),,19
Dual Berettas | Polished Malachite (Field-Tested),,18
Patch | Koi,,18
FAMAS | Rapid Eye Movement (Field-Tested),,18
MAG-7 | Monster Call (Minimal Wear),,18
Sticker | Glare,,18
Glock-18 | Death Rattle (Minimal Wear),,18
P90 | Traction (Field-Tested),,18
Five-SeveN | Angry Mob (Minimal Wear),,18
USP-S | Black Lotus (Minimal Wear),,18
P250 | Visions (Field-Tested),,18
UMP-45 | Corporal (Field-Tested),,18
Nova | Wood Fired (Minimal Wear),,18
Sticker | OG (Gold) | Rio 2022,,18
Glock-18 | Umbral Rabbit (Minimal Wear),,18
Sticker | forZe eSports (Holo) | Paris 2023,,18
MP9 | Goo (Field-Tested),,18
MP9 | Buff Blue (Minimal Wear),,18
R8 Revolver | Banana Cannon (Minimal Wear),,18
Sticker | AMKAL ESPORTS (Glitter) | Copenhagen 2024,,18
AWP | POP AWP (Field-Tested),,18
AK-47 | Searing Rage (Battle-Scarred),,18
Zeus x27 | Olympus (Factory New),,18
Sticker | FaZe Clan (Glitter) | Shanghai 2024,,18
Sticker | FaZe Clan (Holo) | Paris 2023,,18
StatTrak™ AUG | Luxe Trim (Field-Tested),,18
AK-47 | VariCamo Grey (Minimal Wear),,18
StatTrak™ Desert Eagle | Printstream (Field-Tested),,18
StatTrak™ AK-47 | Elite Build (Minimal Wear),,18
Berlin 2019 Minor Challengers Autograph Capsule,,18
Death Sentence Pin,,18
Desert Eagle | Corinthian (Minimal Wear),,18
SG 553 | Aloha (Minimal Wear),,18
★ Moto Gloves | 3rd Commando Company (Field-Tested),,18
Sticker | Movistar Riders | Stockholm 2021,,17
XM1014 | Charter (Field-Tested),,17
AUG | Ricochet (Field-Tested),,17
Sticker | ENCE (Holo) | Berlin 2019,,17
UMP-45 | Crimson Foil (Field-Tested),,17
Nova | Dark Sigil (Factory New),,17
StatTrak™ AK-47 | Ice Coaled (Factory New),,17
Tactics Pin,,17
