name,doppler_phase,sales_in_last_x_days
Desert Eagle | Calligraffiti (Field-Tested),,76
USP-S | 27 (Field-Tested),,75
M4A4 | Mainframe (Factory New),,74
Sticker | Bolt Charge (Foil),,74
USP-S | Check Engine (Factory New),,73
Osiris | Elite Crew,,73
AWP | Chromatic Aberration (Minimal Wear),,73
USP-S | Cortex (Field-Tested),,72
Sticker | Fnatic (Holo) | 2020 RMR,,71
Sticker | XD,,71
M4A1-S | Emphorosaur-S (Minimal Wear),,71
Slingshot | Phoenix,,71
USP-S | Ticket to Hell (Factory New),,71
Street Soldier | Phoenix,,70
Dragomir | Sabre,,70
Sticker | Battle Scarred (Holo),,69
Sticker | Ribbon Tie,,69
Sticker | Hydro Wave,,68
USP-S | Neo-Noir (Factory New),,68
Sticker | Battle Scarred,,68
Michael Syfers  | FBI Sniper,,68
Charm | Big Kev,,68
MAC-10 | Candy Apple (Factory New),,68
AK-47 | Nightwish (Minimal Wear),,67
Soldier | Phoenix,,67
Katowice 2019 Minor Challengers Autograph Capsule,,67
AK-47 | Asiimov (Minimal Wear),,67
AWP | Duality (Field-Tested),,67
Maximus | Sabre,,66
Sticker | Flex,,66
Glock-18 | Death Rattle (Field-Tested),,66
Copenhagen 2024 Champions Autograph Capsule,,65
Ground Rebel  | Elite Crew,,65
'The Doctor' Romanov | Sabre,,65
Galil AR | Control (Field-Tested),,65
Zeus x27 | Tosai (Field-Tested),,65
UMP-45 | Carbon Fiber (Factory New),,64
Charm | Hot Sauce,,64
AWP | Chromatic Aberration (Field-Tested),,64
USP-S | The Traitor (Field-Tested),,64
G3SG1 | Green Apple (Factory New),,63
Sticker | Perfect World (Glitter) | Shanghai 2024,,63
Markus Delrow | FBI HRT,,63
M4A4 | Desolate Space (Minimal Wear),,63
Paris 2023 Vertigo Souvenir Package,,63
Desert Eagle | Bronze Deco (Factory New),,63
Nova | Candy Apple (Factory New),,62
M4A1-S | Boreal Forest (Field-Tested),,62
Sticker | Team Spirit (Glitter) | Shanghai 2024,,62
Blackwolf | Sabre,,62
Charm | Stitch-Loaded,,62
M4A4 | Neo-Noir (Field-Tested),,61
AK-47 | Ice Coaled (Factory New),,61
Glock-18 | Vogue (Minimal Wear),,61
Sticker | Enemy Spotted (Holo),,61
Dragomir | Sabre Footsoldier,,61
Charm | Pocket AWP,,61
USP-S | Cortex (Minimal Wear),,60
Sticker | OG (Holo) | Paris 2023,,60
Tec-9 | Tiger Stencil (Field-Tested),,60
AK-47 | Head Shot (Minimal Wear),,60
AK-47 | Legion of Anubis (Factory New),,60
eSports 2014 Summer Case,,60
Sticker | Bolt Charge,,60
Sticker | FURIA (Glitter) | Paris 2023,,60
Desert Eagle | Serpent Strike (Minimal Wear),,60
R8 Revolver | Blaze (Factory New),,60
AK-47 | Asiimov (Field-Tested),,59
AK-47 | The Empress (Field-Tested),,59
Charm | Whittle Knife,,59
Dual Berettas | Cobalt Quartz (Factory New),,59
M4A4 | Temukau (Field-Tested),,59
AK-47 | Crossfade (Field-Tested),,59
Sticker | Boom Detonation,,58
M4A4 | Desolate Space (Field-Tested),,58
Zeus x27 | Tosai (Minimal Wear),,58
Sticker | MOUZ (Glitter) | Shanghai 2024,,58
AWP | Chromatic Aberration (Factory New),,58
Sticker | Fluxo (Holo) | Paris 2023,,57
Rezan The Ready | Sabre,,57
AK-47 | Crossfade (Factory New),,56
USP-S | Alpine Camo (Field-Tested),,56
MP5-SD | Statics (Field-Tested),,56
USP-S | PC-GRN (Minimal Wear),,56
MAG-7 | Metallic DDPAT (Factory New),,55
M4A1-S | Wash me plz (Minimal Wear),,55
MP7 | Fade (Factory New),,55
Sticker | Gold Web,,55
Sir Bloody Darryl Royale | The Professionals,,55
P250 | Metallic DDPAT (Factory New),,54
Zeus x27 | Olympus (Field-Tested),,54
Sticker | 9z Team (Glitter) | Rio 2022,,54
Sticker | Eternal Fire | Copenhagen 2024,,54
MP9 | Food Chain (Minimal Wear),,54
M4A1-S | Nitro (Minimal Wear),,53
Katowice 2019 Returning Challengers Autograph Capsule,,53
Sticker | FURIA (Glitter) | Shanghai 2024,,53
SSG 08 | Memorial (Minimal Wear),,53
M4A1-S | Mud-Spec (Factory New),,53
Stockholm 2021 Challengers Sticker Capsule,,53
MAG-7 | Wildwood (Field-Tested),,53
Desert Eagle | Serpent Strike (Factory New),,52
MP9 | Food Chain (Field-Tested),,52
AWP | Duality (Minimal Wear),,52
Glock-18 | Water Elemental (Field-Tested),,52
Charm | Lil' Ava,,52
Sticker | Rare Atom (Glitter) | Shanghai 2024,,52
AK-47 | Uncharted (Factory New),,52
Glock-18 | Water Elemental (Minimal Wear),,51
Austin 2025 Contenders Autograph Capsule,,51
Sticker | FURIA (Glitter) | Antwerp 2022,,51
USP-S | Alpine Camo (Factory New),,50
MP9 | Starlight Protector (Field-Tested),,50
Sticker | HEROIC (Glitter) | Shanghai 2024,,50
Charm | Baby's AK,,50
Charm | Lil' Crass,,50
The Elite Mr. Muhlik | Elite Crew,,50
AWP | Chrome Cannon (Field-Tested),,50
USP-S | Cyrex (Factory New),,50
Sticker | Boom Trail,,49
XM1014 | Entombed (Minimal Wear),,49
CS:GO Weapon Case 3,,49
Sticker | Say Cheese (Holo),,49
Charm | Pinch O' Salt,,49
Sticker | Fnatic (Holo) | Paris 2023,,49
MP9 | Nexus (Minimal Wear),,49
AK-47 | Nightwish (Field-Tested),,49
AK-47 | Olive Polycam (Field-Tested),,48
AK-47 | The Outsiders (Field-Tested),,48
M4A4 | Poly Mag (Factory New),,48
StatTrak™ USP-S | Ticket to Hell (Factory New),,48
M4A1-S | Chantico's Fire (Field-Tested),,48
B Squadron Officer | SAS,,48
Sir Bloody Miami Darryl | The Professionals,,48
Nova | Caged Steel (Factory New),,48
AWP | Neo-Noir (Factory New),,48
MAG-7 | Wildwood (Minimal Wear),,48
UMP-45 | Gunsmoke (Field-Tested),,48
AK-47 | Neon Revolution (Minimal Wear),,48
PP-Bizon | Candy Apple (Factory New),,48
Desert Eagle | Serpent Strike (Field-Tested),,47
Sticker | Winding Scorch (Foil),,47
SCAR-20 | Carbon Fiber (Factory New),,47
Sticker | Vitality (Glitter) | Paris 2023,,47
Sticker | Natus Vincere (Holo) | Paris 2023,,47
Charm | Lil' SAS,,47
USP-S | Printstream (Minimal Wear),,47
Sticker | Hydro Stream,,47
AK-47 | Wintergreen (Minimal Wear),,46
AK-47 | Inheritance (Minimal Wear),,46
SSG 08 | Dragonfire (Minimal Wear),,46
Charm | Backsplash,,46
G3SG1 | Green Apple (Minimal Wear),,46
Sticker | Heroic (Holo) | Copenhagen 2024,,46
Sticker | Heroic (Holo) | Paris 2023,,46
P90 | Randy Rush (Field-Tested),,46
M4A1-S | Nightmare (Field-Tested),,46
Galil AR | Tuxedo (Factory New),,46
M4A4 | Turbine (Field-Tested),,46
'Blueberries' Buckshot | NSWC SEAL,,46
SCAR-20 | Poultrygeist (Factory New),,45
Sticker | paiN Gaming (Glitter) | Copenhagen 2024,,45
Huntsman Weapon Case,,45
Sticker | Liquid (Holo) | 2020 RMR,,45
Sticker | Natus Vincere (Holo) | Stockholm 2021,,45
M4A4 | Choppa (Minimal Wear),,45
Sticker | BIG (Holo) | 2020 RMR,,45
M4A1-S | Leaded Glass (Field-Tested),,45
Charm | Lil' Cap Gun,,45
AK-47 | Elite Build (Minimal Wear),,45
Glock-18 | Candy Apple (Minimal Wear),,45
USP-S | Ticket to Hell (Minimal Wear),,45
Glock-18 | Moonrise (Factory New),,45
AK-47 | The Empress (Minimal Wear),,45
Sticker | Techno4K (Holo) | Paris 2023,,44
Glock-18 | Oxide Blaze (Field-Tested),,44
P90 | Wash me (Field-Tested),,44
P2000 | Granite Marbleized (Field-Tested),,44
Sticker | Mustachio (Foil),,44
Sticker | Bolt Strike,,44
AK-47 | Phantom Disruptor (Field-Tested),,44
Sticker | Astralis (Holo) | 2020 RMR,,44
P90 | Wave Breaker (Field-Tested),,43
Sticker | ENCE | Katowice 2019,,43
Sticker | Cloud9 | Copenhagen 2024,,43
USP-S | Guardian (Factory New),,43
MAC-10 | Candy Apple (Minimal Wear),,43
AK-47 | Legion of Anubis (Field-Tested),,43
USP-S | Ticket to Hell (Field-Tested),,42
Sawed-Off | Brake Light (Factory New),,42
Desert Eagle | Meteorite (Factory New),,42
M4A1-S | Nightmare (Minimal Wear),,42
Glock-18 | Block-18 (Field-Tested),,42
M249 | Downtown (Factory New),,42
M4A1-S | Decimator (Minimal Wear),,42
AWP | Asiimov (Field-Tested),,42
SSG 08 | Fever Dream (Field-Tested),,42
M4A1-S | Night Terror (Field-Tested),,42
